,Full Name,Rank,State,State_Name,Gender,Party,Term Date,Approve,Disapprove,No Opinion,ideology,rank_from_low,Link,Website,url_temp,url_temp_final
13,Bill Cassidy,senior,LA,Louisiana,Male,Republican,2015-01-06 to 2021-01-03,0.46,0.26,0.28,0.7629071891846032,70.0,https://www.govtrack.us/congress/members/bill_cassidy/412269,https://www.cassidy.senate.gov,https://en.wikipedia.org/wiki/File:Bill_Cassidy_official_Senate_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Bill_Cassidy_official_Senate_photo_%28cropped%29.jpg
14,Gary Peters,junior,MI,Michigan,Male,Democrat,2015-01-06 to 2021-01-03,0.33,0.27,0.4,0.4244381306315809,41.0,https://www.govtrack.us/congress/members/gary_peters/412305,https://www.peters.senate.gov,https://en.wikipedia.org/wiki/File:Gary_Peters_official_photo_115th_congress_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg/607px-Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg
15,Mark Warner,senior,VA,Virginia,Male,Democrat,2015-01-06 to 2021-01-03,0.49,0.27,0.24,0.4008745097866435,39.0,https://www.govtrack.us/congress/members/mark_warner/412321,https://www.warner.senate.gov,https://en.wikipedia.org/wiki/File:Mark_Warner_113th_Congress_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Mark_Warner_113th_Congress_photo_%28cropped%29.jpg/428px-Mark_Warner_113th_Congress_photo_%28cropped%29.jpg
16,James Risch,junior,ID,Idaho,Male,Republican,2015-01-06 to 2021-01-03,0.43,0.29,0.28,0.8870543057352175,92.0,https://www.govtrack.us/congress/members/james_risch/412322,https://www.risch.senate.gov,https://en.wikipedia.org/wiki/File:Jim_Risch_official_portrait_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e5/Jim_Risch_official_portrait_%28cropped%29.jpg
17,Jeanne Shaheen,senior,NH,New Hampshire,Female,Democrat,2015-01-06 to 2021-01-03,0.51,0.32,0.17,0.3441392280450988,38.0,https://www.govtrack.us/congress/members/jeanne_shaheen/412323,https://www.shaheen.senate.gov,"https://en.wikipedia.org/wiki/File:Jeanne_Shaheen,_official_Senate_photo_portrait,_2009_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Jeanne_Shaheen%2C_official_Senate_photo_portrait%2C_2009_%28cropped%29.jpg/539px-Jeanne_Shaheen%2C_official_Senate_photo_portrait%2C_2009_%28cropped%29.jpg
18,Jeff Merkley,junior,OR,Oregon,Male,Democrat,2015-01-06 to 2021-01-03,0.47,0.25,0.28,0.07330843825611802,4.0,https://www.govtrack.us/congress/members/jeff_merkley/412325,https://www.merkley.senate.gov,"https://en.wikipedia.org/wiki/File:Jeff_Merkley,_115th_official_photo_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Jeff_Merkley%2C_115th_official_photo_%28cropped%29.jpg/565px-Jeff_Merkley%2C_115th_official_photo_%28cropped%29.jpg
19,Chris Coons,junior,DE,Delaware,Male,Democrat,2015-01-06 to 2021-01-03,0.49,0.29,0.22,0.4426664154380726,42.0,https://www.govtrack.us/congress/members/chris_coons/412390,https://www.coons.senate.gov,"https://en.wikipedia.org/wiki/File:Chris_Coons,_official_portrait,_112th_Congress_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/437px-Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
20,Cory Gardner,junior,CO,Colorado,Male,Republican,2015-01-06 to 2021-01-03,0.37,0.35,0.28,0.7287136979602237,63.0,https://www.govtrack.us/congress/members/cory_gardner/412406,https://www.gardner.senate.gov,https://en.wikipedia.org/wiki/File:Cory_Gardner_official_Senate_portrait_(cropped).jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Cory_Gardner_official_Senate_portrait_%28cropped%29.jpeg/460px-Cory_Gardner_official_Senate_portrait_%28cropped%29.jpeg
21,Tom Cotton,junior,AR,Arkansas,Male,Republican,2015-01-06 to 2021-01-03,0.47,0.31,0.22,0.9049266135310804,94.0,https://www.govtrack.us/congress/members/tom_cotton/412508,https://www.cotton.senate.gov,https://en.wikipedia.org/wiki/File:Tom_Cotton_official_Senate_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/Tom_Cotton_official_Senate_photo_%28cropped%29.jpg
22,Steve Daines,junior,MT,Montana,Male,Republican,2015-01-06 to 2021-01-03,0.49,0.3,0.21,0.8363947912940349,79.0,https://www.govtrack.us/congress/members/steve_daines/412549,https://www.daines.senate.gov,https://en.wikipedia.org/wiki/File:Steve_Daines_official_Senate_portrait_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Steve_Daines_official_Senate_portrait_%28cropped%29.jpg/419px-Steve_Daines_official_Senate_portrait_%28cropped%29.jpg
